"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-14","58","66","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-15","57","66","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-16","56","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-17","59","67","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-18","59","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-19","59","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-20","57","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-21","58","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-22","59","67","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-23","58","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-24","57","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-25","57","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-26","57","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-27","60","72","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-28","61","78","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-29","60","69","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-30","59","67","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-01","59","69","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-02","59","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-03","58","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-04","60","67","54"
